id,filtered_words,features,label_index
R129,"['measure', 'although', 'officer', 'maintain.', 'certain', 'wait', 'baby', 'theory', 'war.', 'experts', 'discuss', 'ongoing', 'developments', 'election.']","(10000,[528,696,1348,1468,3556,3614,4506,4687,5477,6475,6749,7779,9288,9462],[4.019381523748645,4.607168188650764,4.270695952029551,4.137164559405029,2.849310271098391,0.6832166123573445,0.691153161953081,0.6871770135734415,4.137164559405029,4.42484663185681,4.830311739964974,3.914021008090819,4.42484663185681,0.691153161953081])",1.0
R227,"['person', 'bed', 'billion', 'remain.', 'law', 'dark', 'social', 'child', 'possible', 'author', 'view.', 'experts', 'discuss', 'ongoing', 'developments', 'climate', 'change.']","(10000,[258,697,821,823,2059,2604,3249,3614,3979,4506,4687,5972,6100,7244,9350,9462,9497],[3.914021008090819,4.42484663185681,2.849310271098391,4.42484663185681,2.6330871626287546,4.607168188650764,3.8187108282864943,0.6832166123573445,4.137164559405029,0.691153161953081,0.6871770135734415,4.830311739964974,4.019381523748645,3.7316994512968646,4.137164559405029,0.691153161953081,4.42484663185681])",1.0
F231,"['goal', 'two', 'investment', 'accept', 'pretty.', 'south', 'call', 'free.', '—', 'shocking', 'claims', 'aliens', 'surface', 'internet.']","(10000,[503,650,1562,2657,4391,4728,4816,5089,5146,5850,7281,7936,8338,9324],[0.691153161953081,2.958509563063383,4.270695952029551,3.6516567436233283,4.607168188650764,3.7316994512968646,3.3262343431887,4.137164559405029,4.019381523748645,0.691153161953081,0.6753425559264385,0.691153161953081,0.691153161953081,5.117993812416755])",0.0
R066,"['true', 'add', 'program.', 'occur', 'maybe', 'control', 'sometimes', 'watch', 'along.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[1208,1766,1921,2708,3614,4506,4687,4818,5869,6944,7025,7188,9462,9887],[2.7508701982851385,4.607168188650764,4.42484663185681,3.577548771469606,0.6832166123573445,0.691153161953081,0.6871770135734415,4.607168188650764,4.137164559405029,2.7508701982851385,4.830311739964974,4.830311739964974,0.691153161953081,4.137164559405029])",1.0
F095,"['protect', 'win', 'husband', 'story.', 'enjoy', 'professional', 'box.', '—', 'shocking', 'claims', 'mind', 'control', 'surface', 'internet.']","(10000,[503,1208,1805,2155,2398,3184,5850,6624,7208,7235,7281,7936,8338,8774],[0.691153161953081,2.7508701982851385,4.830311739964974,4.270695952029551,4.137164559405029,2.8154087194227095,0.691153161953081,5.523458920524919,4.270695952029551,4.019381523748645,0.6753425559264385,0.691153161953081,0.691153161953081,4.42484663185681])",0.0
R174,"['government', 'dream', 'protect', 'improve', 'piece.', 'interview', 'peace', 'sit', 'station', 'agency', 'difficult', 'area.', 'experts', 'discuss', 'ongoing', 'developments', 'policy.']","(10000,[765,1712,2259,2366,2408,3614,4105,4506,4687,6035,6697,6944,6946,7235,8415,9462,9784],[4.019381523748645,4.270695952029551,2.7826188965997183,4.137164559405029,3.8187108282864943,0.6832166123573445,5.117993812416755,0.691153161953081,0.6871770135734415,3.4440173788450834,3.914021008090819,2.7508701982851385,4.019381523748645,4.019381523748645,4.607168188650764,0.691153161953081,5.523458920524919])",1.0
R201,"['argue', 'range.', 'training', 'drive', 'voice', 'recent.', 'note', 'power', 'summer', 'require', 'according', 'role', 'teach.', 'experts', 'discuss', 'ongoing', 'developments', 'public', 'health.']","(10000,[1209,1770,3056,3350,3530,3614,3730,4506,4687,5459,6219,6325,7117,7538,7564,8449,9462,9481,9909],[3.4440173788450834,2.8154087194227095,3.914021008090819,4.137164559405029,4.42484663185681,0.6832166123573445,4.607168188650764,0.691153161953081,0.6871770135734415,5.117993812416755,3.0811118851557153,4.137164559405029,5.117993812416755,4.42484663185681,4.607168188650764,4.830311739964974,0.691153161953081,3.914021008090819,3.914021008090819])",1.0
R072,"['pass', 'management', 'manager', 'action', 'morning', 'food.', 'part', 'heart', 'citizen', 'fast', 'catch.', 'experts', 'discuss', 'ongoing', 'developments', 'education.']","(10000,[8,1241,1652,3160,3614,4085,4506,4687,5047,6426,6633,8392,8740,9263,9462,9808],[4.830311739964974,4.019381523748645,4.137164559405029,4.137164559405029,0.6832166123573445,4.830311739964974,0.691153161953081,0.6871770135734415,2.7200985396183848,4.830311739964974,4.019381523748645,4.607168188650764,3.914021008090819,4.42484663185681,0.691153161953081,4.270695952029551])",1.0
R064,"['church', 'green', 'meet', 'put', 'cup', 'brother', 'nice.', 'probably', 'north', 'fight', 'community', 'structure', 'capital.', 'experts', 'discuss', 'ongoing', 'developments', 'research.']","(10000,[101,291,551,1273,1778,2297,2526,2996,3059,3614,4506,4687,7066,8174,8780,8871,9462,9940],[5.117993812416755,3.914021008090819,4.019381523748645,3.6516567436233283,4.137164559405029,4.019381523748645,4.607168188650764,3.577548771469606,4.270695952029551,0.6832166123573445,0.691153161953081,0.6871770135734415,2.849310271098391,4.019381523748645,5.117993812416755,4.270695952029551,0.691153161953081,3.914021008090819])",1.0
F037,"['sit', 'shoulder', 'report', 'easy', 'city', 'body', 'listen.', 'whether', 'minute', 'born.', '—', 'shocking', 'claims', 'miracle', 'drug', 'surface', 'internet.']","(10000,[503,760,841,1256,2826,3286,3357,3406,5495,5850,6505,6756,6946,7281,7860,7936,8338],[0.691153161953081,3.8187108282864943,3.5085558999826545,3.125563647726549,4.830311739964974,4.830311739964974,4.830311739964974,3.8187108282864943,4.019381523748645,0.691153161953081,4.270695952029551,3.577548771469606,4.019381523748645,0.6753425559264385,2.958509563063383,0.691153161953081,0.691153161953081])",0.0
